time,total_burned_cells,avg_burned,avg_fuel
0,1,0.00025,0.802268
1,1,0.000303235,0.802215
2,1,0.000366052,0.802152
3,1,0.000440283,0.802078
4,1,0.000528115,0.80199
5,1,0.000632158,0.801886
6,1,0.00075553,0.801762
7,1,0.000901952,0.801616
8,1,0.00107588,0.801442
9,1,0.00128261,0.801235
10,3,0.00152852,0.800989
11,5,0.00182118,0.800697
12,6,0.00216969,0.800369
13,8,0.0025849,0.800039
14,9,0.00307979,0.799671
15,9,0.00360685,0.799266
16,10,0.0041698,0.798805
17,13,0.00478809,0.798262
18,18,0.00545271,0.79763
19,20,0.00618545,0.79693
20,23,0.00700364,0.796212
21,25,0.00792394,0.795435
22,29,0.00890338,0.794616
23,35,0.00993262,0.793722
24,37,0.011015,0.792758
25,42,0.0121611,0.791799
26,46,0.0133715,0.790717
27,51,0.0146698,0.789664
28,57,0.0160165,0.788553
29,64,0.0174338,0.787309
30,68,0.0189361,0.785937
31,69,0.0205285,0.784622
32,79,0.0221805,0.783338
33,88,0.0238009,0.78189
34,93,0.025489,0.780427
35,102,0.0273541,0.778859
36,104,0.0294112,0.77731
37,111,0.0313854,0.775688
38,126,0.0333849,0.773983
39,134,0.0355872,0.772076
40,144,0.0378109,0.770227
41,148,0.0402012,0.768352
42,156,0.0426445,0.766401
43,169,0.045024,0.764368
44,176,0.0474285,0.762285
45,188,0.0499525,0.760166
46,197,0.0526321,0.758073
47,211,0.0553968,0.755907
48,220,0.0581269,0.753669
49,228,0.0609512,0.751383
50,244,0.0638085,0.748954
51,251,0.0667341,0.746494
52,261,0.0697208,0.743976
53,277,0.0728488,0.741392
54,289,0.0760509,0.738794
55,300,0.0792411,0.736019
56,312,0.0826891,0.73323
57,329,0.0861549,0.730415
58,347,0.0896353,0.727482
59,356,0.0931925,0.724559
60,369,0.096934,0.721547
61,384,0.100726,0.718521
62,400,0.104543,0.715514
63,418,0.108379,0.71247
64,429,0.112334,0.709277
65,448,0.116424,0.705899
66,462,0.120612,0.702471
67,483,0.124962,0.699085
68,496,0.129293,0.695554
69,514,0.133741,0.691793
70,533,0.138287,0.68806
71,550,0.14279,0.684213
72,569,0.147425,0.680234
73,591,0.152202,0.67626
74,612,0.157023,0.672295
75,624,0.161953,0.668346
76,641,0.16692,0.664387
77,663,0.171843,0.66039
78,684,0.176626,0.656322
79,707,0.181543,0.652024
80,723,0.186777,0.647732
81,749,0.19198,0.643424
82,762,0.197185,0.639239
83,781,0.202573,0.634917
84,805,0.207945,0.630575
85,827,0.213363,0.626113
86,850,0.218865,0.621622
87,877,0.224616,0.617036
88,893,0.230535,0.612287
89,915,0.236544,0.607506
90,944,0.242583,0.602567
91,967,0.248548,0.597479
92,994,0.254613,0.59234
93,1017,0.261047,0.587226
94,1040,0.267553,0.582086
95,1063,0.273986,0.576982
96,1093,0.280356,0.571789
97,1121,0.286866,0.566583
98,1143,0.293492,0.561321
99,1172,0.300204,0.556085
100,1194,0.307061,0.550632
